title,url,date,summary,section
Τέμπη: Στην τελική ευθεία η προκαταρκτική για Καραμανλή - Καταθέτουν τα πορίσματα,https://www.imerisia.gr/politiki/112951_tempi-stin-teliki-eytheia-i-prokatarktiki-gia-karamanli-katathetoyn-ta-porismata,2025-07-17T10:15:54+03:00,Μετά την κεκλεισμένων των θυρών συνεδρίαση της επιτροπής αναμένονται δηλώσεις από τα κόμματα,ΠΟΛΙΤΙΚΗ
Τέμπη: Αθώος δηλώνει ο Κ. Αχ. Καραμανλής - Ζητά παραπομπή στο Δικαστικό Συμβούλιο,https://www.imerisia.gr/politiki/112405_tempi-athoos-dilonei-o-k-ah-karamanlis-zita-parapompi-sto-dikastiko-symboylio,2025-07-07T11:36:49+03:00,Η συνεδρίαση κεκλεισμένων των θυρών συνεχίζεται,ΠΟΛΙΤΙΚΗ
Προκαταρκτική για τα Τέμπη: Κατάθεση του Κ. Αχ. Καραμανλή σήμερα,https://www.imerisia.gr/politiki/112398_prokatarktiki-gia-ta-tempi-katathesi-toy-k-ah-karamanli-simera,2025-07-07T10:21:26+03:00,Δυνατότητα υπομνήματος,ΠΟΛΙΤΙΚΗ
Τέμπη: Συγκροτήθηκε η προανακριτική για τον Κ. Αχ. Καραμανλή - Ποιοι την απαρτίζουν,https://www.imerisia.gr/politiki/111739_tempi-sygkrotithike-i-proanakritiki-gia-ton-k-ah-karamanli-poioi-tin-apartizoyn,2025-06-24T12:48:55+03:00,Η προθεσμία για την ολοκλήρωση των εργασιών της Επιτροπής και την υποβολή του πορίσματός της...,ΠΟΛΙΤΙΚΗ
Τέμπη: Με 154 ψήφους πέρασε η πρόταση της ΚΟ της Νέας Δημοκρατίας για παραπομπή του Κ. Καραμανλή,https://www.imerisia.gr/politiki/111501_tempi-me-154-psifoys-perase-i-protasi-tis-ko-tis-neas-dimokratias-gia-parapompi-toy,2025-06-19T07:44:20+03:00,Σφοδρή αντιπαράθεση και επεισοδιακό φινάλε στη συνεδρίαση της Βουλής για τη συγκρότηση...,ΠΟΛΙΤΙΚΗ
Τέμπη: Αντιπαράθεση και παράλληλοι μονόλογοι στη Βουλή για την Προανακριτική,https://www.imerisia.gr/politiki/111495_tempi-antiparathesi-kai-paralliloi-monologoi-sti-boyli-gia-tin-proanakritiki,2025-06-19T07:30:00+03:00,Η χθεσινή αντιπαράθεση αποτυπώνει τη σύνθετη πολιτική πραγματικότητα και τον τρόπο με τον οποίο...,ΠΟΛΙΤΙΚΗ
Τέμπη - Κ. Αχ. Καραμανλής: «Τα Τέμπη με σημάδεψαν - Χωρίς προηγούμενο η παραίτησή μου»,https://www.imerisia.gr/politiki/111485_tempi-k-ah-karamanlis-ta-tempi-me-simadepsan-horis-proigoymeno-i-paraitisi-moy,2025-06-18T18:52:40+03:00,"Ο πρώην Υπουργός Υποδομών και Μεταφορών, Κώστας Αχ. Καραμανλής, υπερασπίστηκε το έργο του από το...",ΠΟΛΙΤΙΚΗ
Ν. Ανδρουλάκης για Τέμπη: Ο κ. Μητσοτάκης προσπάθησε από θύτης να γίνει θύμα,https://www.imerisia.gr/politiki/111470_n-androylakis-gia-tempi-o-k-mitsotakis-prospathise-apo-thytis-na-ginei-thyma,2025-06-18T14:30:18+03:00,Τι είπε στην ομιλία του ο αρχηγός της αξιωματικής αντιπολίτευσης από το βήμα της Βουλής,ΠΟΛΙΤΙΚΗ
Κ. Μητσοτάκης στη Βουλή για τα Τέμπη: Αθλιότητα η κατηγορία περί εσχάτης προδοσίας,https://www.imerisia.gr/politiki/111464_k-mitsotakis-sti-boyli-gia-ta-tempi-ftiaxate-enan-synetairismo-tis-toxikotitas,2025-06-18T13:11:43+03:00,Η ομιλία του πρωθυπουργού στη Βουλή,ΠΟΛΙΤΙΚΗ
Βουλή: Αρχισε η συζήτηση επί των προτάσεων για σύσταση Προανακριτικής για τα Τέμπη,https://www.imerisia.gr/politiki/111456_boyli-arhise-i-syzitisi-epi-ton-protaseon-gia-systasi-proanakritikis-gia-ta-tempi,2025-06-18T11:23:36+03:00,Η Ολομέλεια καλείται να αποφασίσει ποια πολιτικά πρόσωπα και για ποια αδικήματα θα παραπεμφθούν σε...,ΠΟΛΙΤΙΚΗ
"Κυβέρνηση: Σε αγώνα δρόμου για λύσεις σε ακρίβεια, Τέμπη και διπλωματικό μέτωπο",https://www.imerisia.gr/politiki/111068_kybernisi-se-agona-dromoy-gia-lyseis-se-akribeia-tempi-kai-diplomatiko-metopo,2025-06-10T07:15:00+03:00,Ο Κυριάκος Μητσοτάκης συνεχίζει να εφαρμόζει το πολιτικό του σχέδιο με μεθοδικότητα και στόχο τη...,ΠΟΛΙΤΙΚΗ
Τέμπη: Ξανά στη Βουλή – Κρίσιμο τεστ για όλα τα κόμματα,https://www.imerisia.gr/politiki/111032_tempi-xana-sti-boyli-krisimo-test-gia-ola-ta-kommata,2025-06-08T07:30:00+03:00,Η υπόθεση του σιδηροδρομικού δυστυχήματος στα Τέμπη επιστρέφει στο επίκεντρο της πολιτικής...,ΠΟΛΙΤΙΚΗ
Τέμπη: Αυτή είναι η πρόταση Προανακριτικής του ΣΥΡΙΖΑ - Καλεί ανεξάρτητους βουλευτές να υπογράψουν,https://www.imerisia.gr/politiki/110704_tempi-ayti-einai-i-protasi-proanakritikis-toy-syriza-kalei-anexartitoys-boyleytes,2025-05-31T17:55:21+03:00,"Στην πρότασή του ο ΣΥΡΙΖΑ, εκτός από τον πρωθυπουργό, περιλαμβάνει τον Κώστα Αχ. Καραμανλή, τον...",ΠΟΛΙΤΙΚΗ
Τέμπη: Εναρξη διαδικασιών για την προανακριτική μέσα στην εβδομάδα - Διχασμένα τα κόμματα,https://www.imerisia.gr/politiki/110367_tempi-enarxi-diadikasion-gia-tin-proanakritiki-mesa-stin-ebdomada-dihasmena-ta,2025-05-26T06:45:00+03:00,"Το ερώτημα αν θα υπάρξει πραγματική κάθαρση ή αν, αντίθετα, η υπόθεση των Τεμπών θα προστεθεί στις...",ΠΟΛΙΤΙΚΗ
Κ. Χατζηδάκης: Να κάνουμε επιτέλους μια κανονική συζήτηση για τα Τέμπη,https://www.imerisia.gr/politiki/109789_k-hatzidakis-na-kanoyme-epiteloys-mia-kanoniki-syzitisi-gia-ta-tempi,2025-05-14T11:45:54+03:00,"«Από το ΠΑΣΟΚ που είναι ένα κόμμα της κεντροαριστεράς, ένα κόμμα που θέλει να αποτελέσει...",ΠΟΛΙΤΙΚΗ
Π. Μαρινάκης για τα Τέμπη: Ο κ. Ανδρουλάκης πρέπει να απολογηθεί δημοσίως,https://www.imerisia.gr/politiki/109742_p-marinakis-gia-ta-tempi-o-k-androylakis-prepei-na-apologithei-dimosios,2025-05-13T14:24:16+03:00,"«Ο πρόεδρος του ΠΑΣΟΚ, αντί να κρύβεται πίσω από ανακοινώσεις του γραφείου Τύπου, οφείλει να βγει...",ΠΟΛΙΤΙΚΗ
Τέμπη: Παραδόθηκε το πόρισμα του ΕΜΠ - Πώς αιτιολογεί την πυρόσφαιρα,https://www.imerisia.gr/koinonia/109724_tempi-paradothike-porisma-toy-emp-pos-aitiologei-tin-pyrosfaira,2025-05-13T11:43:10+03:00,"Το πόρισμα, 132 σελίδων, του καθηγητή Δημήτρη Καρώνη παραδόθηκε στον εφέτη ανακριτή Σωτήρη Μπακαΐμη",ΚΟΙΝΩΝΙΑ
Τέμπη: Η πρόταση για Προανακριτική δημιουργεί προβλήματα σε κυβέρνηση και αντιπολίτευση,https://www.imerisia.gr/politiki/109635_tempi-i-protasi-gia-proanakritiki-dimioyrgei-problimata-se-kybernisi-kai,2025-05-12T07:15:00+03:00,Μέσα στην εβδομάδα που αρχίζει σήμερα αναμένεται η κατάθεση της πρότασης του ΠΑΣΟΚ για σύσταση...,ΠΟΛΙΤΙΚΗ
Πολιτική Βαβέλ στην αντιπολίτευση με την προανακριτική για Καραμανλή,https://www.imerisia.gr/politiki/109134_tempi-politiki-babel-stin-antipoliteysi-me-tin-proanakritiki-gia-karamanli,2025-05-01T08:00:00+03:00,"Η μεγάλη εικόνα της αντιπολίτευσης παραπέμπει περισσότερο σε πολιτική Βαβέλ, παρά σε μια...",ΠΟΛΙΤΙΚΗ
Τέμπη: Στη Βουλή δικογραφία για Κ. Καραμανλή και Χρ. Σπίρτζη,https://www.imerisia.gr/politiki/108995_tempi-sti-boyli-dikografia-gia-k-karamanli-kai-hr-spirtzi,2025-04-28T20:06:22+03:00,"Στη Βουλή διαβιβάστηκε, σύμφωνα με κοινοβουλευτικές πηγές, από τον Άρειο Πάγο δικογραφία του εφέτη...",ΠΟΛΙΤΙΚΗ
Τέμπη: Εγκρίθηκε η παραπομπή Τριαντόπουλου - Σφοδρή αντιπαράθεση στη Βουλή,https://www.imerisia.gr/politiki/108365_tempi-egkrithike-i-parapompi-triantopoyloy-sfodri-antiparathesi-sti-boyli,2025-04-11T22:51:00+03:00,Με τις ψήφους της Νέας Δημοκρατίας και του ΠΑΣΟΚ εγκρίθηκε από την Ολομέλεια της Βουλής η παραπομπή...,ΠΟΛΙΤΙΚΗ
Δημοσκόπηση MRB για OPEN: Πρώτο πρόβλημα η ακρίβεια – Οι πολίτες βλέπουν συγκάλυψη στα Τέμπη,https://www.imerisia.gr/politiki/108284_dimoskopisi-mrb-gia-open-proto-problima-i-akribeia-oi-polites-blepoyn-sygkalypsi,2025-04-10T20:24:58+03:00,Το ζήτημα των Τεμπών φαίνεται να απασχολεί λιγότερο την ελληνική κοινή γνώμη σε σχέση με τους...,ΠΟΛΙΤΙΚΗ
Τέμπη: Παραιτήθηκε ο πρόεδρος του ΕΟΔΑΣΑΑΜ - Η επιστολή του προς τον Κ. Κυρανάκη,https://www.imerisia.gr/politiki/108187_tempi-paraitithike-o-proedros-toy-eodasaam-i-epistoli-toy-pros-ton-k-kyranaki,2025-04-09T13:33:57+03:00,"Σύμφωνα με πληροφορίες του ΑΠΕ-ΜΠΕ, δεν του ζητήθηκε η παραίτηση αλλά ήταν οικειοθελής",ΠΟΛΙΤΙΚΗ
Εκτεθειμένα όλα τα κόμματα με την Προανακριτική για τα Τέμπη,https://www.imerisia.gr/politiki/108159_ektetheimena-ola-ta-kommata-me-tin-proanakritiki-gia-ta-tempi,2025-04-09T07:55:57+03:00,Η Νέα Δημοκρατία δέχθηκε -με έκδηλη απροθυμία- τη σύσταση της Προανακριτικής Επιτροπής μετά τις...,ΠΟΛΙΤΙΚΗ
Τέμπη: Γνήσια τα βίντεο της INTERSTAR λέει η ΕΛ.ΑΣ.,https://www.imerisia.gr/koinonia/107697_tempi-gnisia-ta-binteo-tis-interstar-leei-i-elas,2025-03-28T15:22:38+02:00,"Σύμφωνα με τις εκθέσεις της εργαστηριακής πραγματογνωμοσύνης της ΕΛ.ΑΣ., είναι γνήσια τα αντίγραφα...",ΚΟΙΝΩΝΙΑ
Προανακριτική για Τέμπη: «Αθώος» δηλώνει με υπόμνημά του ο Χρήστος Τριαντόπουλος,https://www.imerisia.gr/politiki/107685_proanakritiki-gia-tempi-athoos-dilonei-me-ypomnima-toy-o-hristos-triantopoylos,2025-03-28T12:14:18+02:00,Δηλώνει επίσης ότι επιθυμεί η υπόθεσή του να αχθεί στην τακτική Δικαιοσύνη,ΠΟΛΙΤΙΚΗ
Τέμπη: Νέο εξώδικο Καρυστιανού στην Προανακριτική - Ζητά κλήση Μητσοτάκη και 5 υπουργών,https://www.imerisia.gr/politiki/107683_tempi-neo-exodiko-karystianoy-stin-proanakritiki-zita-klisi-mitsotaki-kai-5,2025-03-28T11:38:38+02:00,Ο κ. Τριαντόπουλος επέλεξε να παρέχει τις εξηγήσεις του στην Επιτροπή σχετικά με την υπόθεση δια...,ΠΟΛΙΤΙΚΗ
Σε σίριαλ εξελίσσεται η προανακριτική των ευθυνών Τριαντόπουλου για τα Τέμπη,https://www.imerisia.gr/politiki/107379_se-sirial-exelissetai-i-proanakritiki-ton-eythynon-triantopoyloy-gia-ta-tempi,2025-03-21T07:00:00+02:00,"Μέρες τώρα, αντί να ακούμε προγράμματα, προτάσεις για τα φλέγοντα θέματα της χώρας και διαμάχες...",ΠΟΛΙΤΙΚΗ
Τέμπη: Νέα πολιτική σύγκρουση με αφορμή την Προανακριτική,https://www.imerisia.gr/politiki/107261_tempi-nea-politiki-sygkroysi-me-aformi-tin-proanakritiki,2025-03-19T07:45:00+02:00,Η χθεσινή ημέρα ήταν αποκαλυπτική για τις εκατέρωθεν προσπάθειες πολιτικής αξιοποίησης της...,ΠΟΛΙΤΙΚΗ
Κ. Μητσοτάκης: Δεν πρόκειται να ξεχάσουμε τα Τέμπη,https://www.imerisia.gr/politiki/106831_k-mitsotakis-den-prokeitai-na-xehasoyme-ta-tempi,2025-03-09T11:44:39+02:00,"«Πρώτοι εμείς θέλουμε να ξεκινήσει η δίκη για την ανείπωτη αυτή τραγωδία. Παράλληλα, θα συνεχίσουμε...",ΠΟΛΙΤΙΚΗ
"Βουλή - Μητσοτάκης για Τέμπη: Τυχόν επιχειρησιακές αστοχίες θα διερευνηθούν από τη Δικαιοσύνη, όχι από λαϊκά δικαστήρια",https://www.imerisia.gr/politiki/106804_boyli-mitsotakis-gia-tempi-tyhon-epiheirisiakes-astohies-tha-diereynithoyn-apo-ti,2025-03-07T22:43:13+02:00,"Τυχόν επιχειρησιακές αστοχίες θα διερευνηθούν από τη Δικαιοσύνη, όχι από λαϊκά δικαστήρια, τόνισε...",ΠΟΛΙΤΙΚΗ
"Τέμπη - Βουλή: «Καταργήστε τον νόμο περί ευθύνης υπουργών», λέει ο Δ. Κουτσούμπας",https://www.imerisia.gr/politiki/106803_tempi-boyli-katargiste-ton-nomo-peri-eythynis-ypoyrgon-leei-o-d-koytsoympas,2025-03-07T22:28:31+02:00,"«Όσο εσείς λέτε ότι οι συγκεντρώσεις γίνονται για να κάνουν την κυβέρνηση σας καλύτερη, τόσο πιο...",ΠΟΛΙΤΙΚΗ
Τέμπη - Βουλή: Σφοδρή επίθεση Φάμελλου στον πρωθυπουργό – «Αλαζόνας και απονομιμοποιημένος»,https://www.imerisia.gr/politiki/106801_tempi-boyli-sfodri-epithesi-famelloy-ston-prothypoyrgo-alazonas-kai,2025-03-07T21:49:51+02:00,"Σκληρή επίθεση στον πρωθυπουργό εξαπέλυσε ο πρόεδρος του ΣΥΡΙΖΑ, Σωκράτης Φάμελλος, κατηγορώντας...",ΠΟΛΙΤΙΚΗ
"Τέμπη - Βουλή: «Η αλαζονεία της κυβέρνησης τραβάει το πολιτικό σύστημα στον βούρκο», λέει ο Αλέξης Χαρίτσης",https://www.imerisia.gr/politiki/106800_tempi-boyli-i-alazoneia-tis-kybernisis-trabaei-politiko-systima-ston-boyrko-leei-o,2025-03-07T21:15:00+02:00,"Ο Αλ. Χαρίτσης, απευθυνόμενος στον πρωθυπουργό, είπε ότι κάνει «πολύ μεγάλο λάθος» αν πιστεύει ότι...",ΠΟΛΙΤΙΚΗ
